ダウンロードした時刻：2021/11/22 16:02:05

,珠洲,珠洲,珠洲,珠洲,珠洲,珠洲,珠洲,珠洲,輪島,輪島,輪島,輪島,輪島,輪島,輪島,輪島,輪島,輪島,輪島,七尾,七尾,七尾,七尾,七尾,七尾,七尾,七尾,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,白山河内,白山河内,白山河内,白山河内,白山河内,白山河内,白山河内,白山河内,加賀菅谷,加賀菅谷,加賀菅谷,加賀菅谷,加賀菅谷,加賀菅谷,加賀菅谷,加賀菅谷
2020/11/12,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/13,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/14,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/15,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/16,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/17,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/18,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/19,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,5,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/20,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/21,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/22,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/23,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/24,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/25,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/26,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/27,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/28,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/29,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,0,8,0,8,1
2020/11/30,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,1,8,0,8,1,0,8,1,0,8,0,8,1
2020/12/1,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,1,8,0,8,1,0,8,1,0,8,0,8,1
2020/12/2,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,0,0,8,1,0,8,1,1,8,1,8,1,0,8,1,1,8,0,8,1
2020/12/3,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,1,8,2,8,1,0,8,1,1,8,0,8,1
2020/12/4,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,1,8,0,8,1,0,8,1,1,8,0,8,1
2020/12/5,0,8,1,0,8,1,8,1,0,1,8,1,0,,8,0,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,1,0,8,1,0,8,1,1,8,1,8,1,0,8,1,1,8,1,8,1
2020/12/6,0,8,1,0,8,1,8,1,0,1,8,1,0,,8,0,0,8,1,0,8,1,0,8,2,8,1,0,1,8,1,0,,8,2,0,8,1,0,8,1,1,8,3,8,1,0,8,1,1,8,2,8,1
2020/12/7,0,8,1,1,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,1,0,8,1,0,8,1,2,8,1,8,1,0,8,1,1,8,1,8,1
2020/12/8,0,8,1,1,8,1,8,1,0,1,8,1,0,,8,0,0,8,1,0,8,1,0,8,0,8,1,0,1,8,1,1,,8,0,0,8,1,0,8,1,2,8,2,8,1,0,8,1,1,8,1,8,1
2020/12/9,0,8,1,1,8,2,8,1,0,1,8,1,0,,8,1,0,8,1,0,8,1,0,8,1,8,1,0,1,8,1,1,,8,0,0,8,1,0,8,1,2,8,4,8,1,0,8,1,1,8,2,8,1
2020/12/10,0,8,1,1,8,1,8,1,0,1,8,1,0,,8,1,0,8,1,0,8,1,1,8,1,8,1,0,1,8,1,1,,8,0,1,8,1,0,8,1,2,8,1,8,1,0,8,1,2,8,1,8,1
2020/12/11,0,8,1,1,8,0,8,1,0,1,8,1,0,,8,0,0,8,1,0,8,1,1,8,1,8,1,0,1,8,1,1,,8,0,0,8,1,0,8,1,2,8,2,8,1,0,8,1,2,8,1,8,1
2020/12/12,0,8,1,1,8,2,8,1,0,1,8,1,0,,8,1,0,8,1,0,8,1,1,8,1,8,1,0,1,8,1,1,,8,0,0,8,1,0,8,1,3,8,4,8,1,0,8,1,2,8,1,8,1
2020/12/13,0,8,1,1,8,4,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,1,8,1,8,1,0,1,8,1,1,,8,0,0,8,1,0,8,1,3,8,4,8,1,0,8,1,2,8,2,8,1
2020/12/14,14,8,1,1,8,2,8,1,4,0,8,1,1,,8,0,0,8,1,1,8,1,1,8,1,8,1,1,0,8,1,1,,8,1,0,8,1,0,8,1,3,8,7,8,1,0,8,1,2,8,3,8,1
2020/12/15,18,8,1,1,8,1,8,1,9,0,8,1,1,,8,1,0,8,1,15,8,1,1,8,0,8,1,0,1,8,1,1,,8,0,0,8,1,8,8,1,3,8,1,8,1,0,8,1,2,8,1,8,1
2020/12/16,9,8,1,1,8,2,8,1,2,0,8,1,1,,8,1,0,8,1,10,8,1,1,8,0,8,1,1,0,8,1,1,,8,1,0,8,1,15,8,1,3,8,5,8,1,9,8,1,3,8,4,5,1
2020/12/17,6,8,1,1,8,4,8,1,0,1,8,1,1,,8,3,0,8,1,3,8,1,1,8,5,8,1,3,0,8,1,1,,8,4,0,8,1,11,8,1,3,8,7,5,1,10,8,1,3,8,4,8,1
2020/12/18,7,8,1,2,8,2,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,1,8,1,8,1,1,0,8,1,1,,8,1,0,8,1,10,8,1,3,8,2,5,1,0,8,1,3,8,3,8,1
2020/12/19,5,8,1,2,8,2,8,1,2,0,8,1,1,,8,1,0,8,1,5,8,1,1,8,0,5,1,3,0,8,1,1,,8,1,0,8,1,13,8,1,3,8,1,5,1,2,8,1,3,8,1,8,1
2020/12/20,9,8,1,2,8,1,8,1,2,0,8,1,1,,8,0,0,8,1,2,8,1,1,8,0,8,1,5,0,8,1,1,,8,0,0,8,1,5,8,1,3,8,2,5,1,6,8,1,3,8,1,8,1
2020/12/21,0,8,1,2,8,0,8,1,0,1,8,1,1,,8,0,1,8,1,1,8,1,1,8,0,8,1,0,1,8,1,1,,8,0,1,8,1,2,8,1,4,8,2,8,1,0,8,1,3,8,1,8,1
2020/12/22,2,8,1,2,8,2,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,1,8,1,8,1,0,1,8,1,1,,8,0,1,8,1,4,8,1,4,8,2,8,1,0,8,1,3,8,1,8,1
2020/12/23,0,8,1,2,8,0,8,1,0,1,8,1,1,,8,0,0,8,1,0,8,1,1,8,0,8,1,0,1,8,1,1,,8,0,0,8,1,1,8,1,4,8,2,8,1,0,8,1,3,8,0,8,1
2020/12/24,0,8,1,2,8,2,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,1,8,0,8,1,0,1,8,1,1,,8,2,0,8,1,0,8,1,4,8,3,8,1,0,8,1,3,8,4,8,1
2020/12/25,0,8,1,2,8,3,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,1,8,4,8,1,0,1,8,1,1,,8,3,0,8,1,1,8,1,4,8,6,8,1,0,8,1,3,8,6,8,1
2020/12/26,0,8,1,2,8,2,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,1,8,4,8,1,0,1,8,1,1,,8,4,0,8,1,2,8,1,4,8,7,8,1,0,8,1,3,8,7,8,1
2020/12/27,0,8,1,2,8,3,8,1,0,1,8,1,1,,8,2,0,8,1,0,8,1,1,8,2,8,1,0,1,8,1,1,,8,2,0,8,1,0,8,1,4,8,7,8,1,0,8,1,3,8,4,8,1
2020/12/28,0,8,1,2,8,2,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,1,8,1,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,5,8,5,8,1,0,8,1,4,8,3,8,1
2020/12/29,0,8,1,2,8,2,8,1,0,1,8,1,1,,8,0,0,8,1,0,8,1,1,8,1,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,5,8,6,8,1,0,8,1,4,8,4,8,1
2020/12/30,4,8,1,2,8,2,8,1,2,0,8,1,1,,8,1,0,8,1,6,8,1,1,8,1,8,1,6,0,8,1,1,,8,1,0,8,1,25,8,1,5,8,3,8,1,8,8,1,4,8,3,8,1
2020/12/31,9,8,1,2,8,1,8,1,8,0,8,1,1,,8,1,0,8,1,6,8,1,2,8,3,8,1,12,0,8,1,1,,8,2,0,8,1,28,8,1,5,8,6,8,1,17,8,1,4,8,4,8,1
2021/1/1,12,8,1,2,8,2,8,1,4,0,8,1,1,,8,1,0,8,1,15,8,1,2,8,1,8,1,1,0,8,1,1,,8,3,0,8,1,7,8,1,6,8,9,8,1,6,8,1,4,8,8,8,1
2021/1/2,14,8,1,2,8,2,8,1,4,0,8,1,1,,8,2,0,8,1,6,8,1,2,8,1,8,1,3,0,8,1,1,,8,2,0,8,1,12,8,1,6,8,7,8,1,5,8,1,4,8,5,5,1
2021/1/3,13,8,1,2,8,2,8,1,4,0,8,1,1,,8,1,0,8,1,3,8,1,2,8,3,8,1,1,0,8,1,1,,8,1,0,8,1,16,8,1,6,8,7,5,1,9,8,1,5,8,5,8,1
2021/1/4,2,8,1,2,8,2,8,1,0,1,8,1,1,,8,1,0,8,1,1,8,1,2,8,2,8,1,0,1,8,1,1,,8,3,0,8,1,9,8,1,6,8,5,8,1,2,8,1,5,8,4,8,1
2021/1/5,0,8,1,2,8,1,8,1,1,0,8,1,1,,8,1,0,8,1,0,8,1,2,8,1,8,1,0,1,8,1,2,,8,0,0,8,1,5,8,1,6,8,2,8,1,0,8,1,5,8,2,8,1
2021/1/6,3,8,1,2,8,1,8,1,2,0,8,1,1,,8,0,0,8,1,3,8,1,2,8,1,8,1,0,1,8,1,2,,8,1,0,8,1,2,8,1,6,8,3,8,1,1,8,1,5,8,4,8,1
2021/1/7,15,8,1,2,8,2,8,1,7,0,8,1,1,,8,1,0,8,1,27,8,1,2,8,2,8,1,14,0,8,1,2,,8,1,0,8,1,24,8,1,6,8,6,5,1,18,8,1,5,8,3,8,1
2021/1/8,41,8,1,2,8,1,8,1,14,0,8,1,1,,8,1,0,8,1,30,8,1,2,8,1,8,1,8,0,8,1,2,,8,1,0,8,1,30,8,1,6,8,4,8,1,40,8,1,5,8,2,8,1
2021/1/9,30,8,1,2,8,2,8,1,30,0,8,1,1,,8,0,0,8,1,10,8,1,2,8,1,8,1,35,0,8,1,2,,8,1,0,8,1,44,8,1,6,8,7,8,1,61,8,1,5,8,6,8,1
2021/1/10,5,8,1,3,8,5,8,1,16,0,8,1,1,,8,2,0,8,1,11,8,1,2,8,1,8,1,12,0,8,1,2,,8,3,0,8,1,24,8,1,6,8,9,8,1,19,8,1,5,8,6,8,1
2021/1/11,19,8,1,3,8,7,8,1,6,0,8,1,1,,8,4,0,8,1,5,8,1,2,8,3,8,1,1,0,8,1,2,,8,4,0,8,1,7,8,1,6,8,8,8,1,2,8,1,5,8,7,8,1
2021/1/12,1,8,1,3,8,4,8,1,0,1,8,1,1,,8,3,0,8,1,0,8,1,2,8,2,8,1,0,1,8,1,2,,8,3,0,8,1,2,8,1,6,8,10,8,1,2,8,1,6,8,10,5,1
2021/1/13,3,8,1,3,8,3,8,1,0,1,8,1,2,,8,2,0,8,1,0,8,1,2,8,3,8,1,0,1,8,1,2,,8,3,0,8,1,5,8,1,6,8,8,8,1,4,8,1,6,8,8,8,1
2021/1/14,3,8,1,3,8,4,8,1,0,1,8,1,2,,8,3,0,8,1,0,8,1,2,8,2,8,1,0,1,8,1,2,,8,2,0,8,1,4,8,1,6,8,5,8,1,3,8,1,6,8,4,8,1
2021/1/15,1,8,1,3,8,6,8,1,0,1,8,1,2,,8,4,0,8,1,1,8,1,2,8,3,8,1,0,1,8,1,2,,8,1,0,8,1,4,8,1,6,8,6,8,1,3,8,1,6,8,5,8,1
2021/1/16,1,8,1,3,8,2,8,1,0,1,8,1,2,,8,0,0,8,1,0,8,1,2,8,1,8,1,0,1,8,1,2,,8,1,0,8,1,9,8,1,7,8,5,5,1,3,8,1,6,8,3,8,1
2021/1/17,12,8,1,3,8,2,8,1,8,0,8,1,2,,8,0,0,8,1,9,8,1,2,8,1,8,1,1,0,8,1,2,,8,2,0,8,1,6,8,1,7,8,7,8,1,3,8,1,6,8,4,8,1
2021/1/18,6,8,1,3,8,2,8,1,4,0,8,1,2,,8,1,0,8,1,8,8,1,2,8,1,8,1,14,0,8,1,2,,8,1,0,8,1,14,8,1,7,8,6,8,1,13,8,1,6,8,3,5,1
2021/1/19,7,8,1,3,8,3,8,1,5,0,8,1,2,,8,3,0,8,1,4,8,1,2,8,3,8,1,5,0,8,1,2,,8,2,0,8,1,9,8,1,7,8,9,8,1,14,8,1,6,8,7,8,1
2021/1/20,0,8,1,3,8,2,8,1,0,1,8,1,2,,8,1,0,8,1,1,8,1,3,8,2,8,1,0,1,8,1,2,,8,1,0,8,1,1,8,1,7,8,5,8,1,7,8,1,6,8,4,8,1
2021/1/21,2,8,1,3,8,2,8,1,0,1,8,1,2,,8,1,0,8,1,1,8,1,3,8,1,8,1,0,1,8,1,2,,8,1,0,8,1,3,8,1,7,8,3,5,1,4,8,1,7,8,2,8,1
2021/1/22,0,8,1,3,8,2,8,1,0,1,8,1,2,,8,2,0,8,1,0,8,1,3,8,1,8,1,0,1,8,1,2,,8,2,0,8,1,4,8,1,7,8,8,8,1,1,8,1,7,8,4,8,1
2021/1/23,2,8,1,3,8,4,8,1,0,1,8,1,2,,8,3,0,8,1,0,8,1,3,8,4,8,1,0,1,8,1,3,,8,1,0,8,1,8,8,1,8,8,6,5,1,3,8,1,7,8,3,8,1
2021/1/24,4,8,1,3,8,9,8,1,0,1,8,1,2,,8,8,0,8,1,0,8,1,3,8,8,8,1,0,1,8,1,3,,8,6,0,8,1,3,8,1,8,8,11,5,1,2,8,1,7,8,10,5,1
2021/1/25,5,8,1,3,8,5,8,1,0,1,8,1,2,,8,5,0,8,1,0,8,1,3,8,5,8,1,0,1,8,1,3,,8,3,0,8,1,0,8,1,8,8,11,5,1,0,8,1,7,8,9,5,1
2021/1/26,2,8,1,4,8,4,8,1,0,1,8,1,2,,8,4,0,8,1,0,8,1,3,8,6,8,1,0,1,8,1,3,,8,7,0,8,1,5,8,1,8,8,12,8,1,2,8,1,8,8,10,8,1
2021/1/27,0,8,1,4,8,5,8,1,0,1,8,1,2,,8,1,0,8,1,0,8,1,3,8,4,8,1,0,1,8,1,3,,8,3,0,8,1,8,8,1,8,8,12,5,1,3,8,1,8,8,8,8,1
2021/1/28,2,8,1,4,8,3,8,1,0,1,8,1,2,,8,1,0,8,1,0,8,1,3,8,1,8,1,0,1,8,1,3,,8,2,0,8,1,4,8,1,8,8,6,5,1,1,8,1,8,8,2,8,1
2021/1/29,13,8,1,4,8,5,8,1,7,0,8,1,2,,8,3,0,8,1,14,8,1,3,8,5,8,1,5,0,8,1,3,,8,2,0,8,1,6,8,1,8,8,8,5,1,7,8,1,8,8,8,8,1
2021/1/30,2,8,1,4,8,4,8,1,1,0,8,1,2,,8,2,0,8,1,1,8,1,3,8,5,8,1,1,0,8,1,3,,8,6,0,8,1,5,8,1,8,8,11,5,1,3,8,1,8,8,10,5,1
2021/1/31,2,8,1,4,8,3,5,1,0,1,8,1,2,,8,1,0,8,1,0,8,1,3,8,2,8,1,0,1,8,1,3,,8,2,0,8,1,1,8,1,8,8,7,5,1,3,8,1,8,8,6,8,1
2021/2/1,0,8,1,3,8,2,8,1,0,1,8,1,2,,8,1,0,8,1,0,8,1,3,8,1,8,1,0,1,8,1,3,,8,1,0,8,1,0,8,1,8,8,7,5,1,1,8,1,8,8,5,8,1
2021/2/2,5,8,1,3,8,1,8,1,2,0,8,1,2,,8,2,0,8,1,2,8,1,3,8,1,8,1,2,0,8,1,3,,8,1,0,8,1,6,8,1,8,8,5,8,1,7,8,1,7,8,4,8,1
2021/2/3,11,8,1,3,8,2,8,1,4,0,8,1,2,,8,1,0,8,1,8,8,1,3,8,1,8,1,0,1,8,1,3,,8,1,0,8,1,14,8,1,8,8,2,5,1,2,8,1,7,8,2,8,1
2021/2/4,11,8,1,3,8,3,8,1,4,0,8,1,2,,8,1,0,8,1,8,8,1,3,8,2,8,1,0,1,8,1,3,,8,4,0,8,1,10,8,1,7,8,6,5,1,3,8,1,7,8,6,8,1
2021/2/5,3,8,1,3,8,3,8,1,0,1,8,1,2,,8,2,0,8,1,3,8,1,3,8,3,8,1,0,1,8,1,2,,8,6,0,8,1,5,8,1,7,8,9,8,1,2,8,1,7,8,7,8,1
2021/2/6,1,8,1,3,8,2,8,1,0,1,8,1,2,,8,0,0,5,1,0,8,1,3,8,2,8,1,0,1,8,1,2,,8,3,0,8,1,0,8,1,7,8,11,8,1,2,8,1,7,8,10,8,1
2021/2/7,0,8,1,3,8,2,5,1,0,1,8,1,2,,8,2,0,8,1,0,8,1,3,8,1,8,1,0,1,8,1,2,,8,2,0,8,1,0,8,1,7,8,7,8,1,4,8,1,7,8,5,8,1
2021/2/8,4,8,1,3,8,6,8,1,2,0,8,1,2,,8,4,0,8,1,1,8,1,3,8,4,8,1,13,0,8,1,2,,8,3,0,8,1,16,8,1,7,8,9,8,1,18,8,1,7,8,6,8,1
2021/2/9,7,8,1,3,8,6,8,1,2,0,8,1,2,,8,3,0,8,1,7,8,1,2,8,4,8,1,2,0,8,1,2,,8,3,0,8,1,14,8,1,7,8,9,8,1,6,8,1,7,8,8,5,1
2021/2/10,1,8,1,3,8,5,8,1,0,1,8,1,2,,8,2,0,8,1,0,8,1,2,8,2,8,1,0,1,8,1,2,,8,2,0,8,1,3,8,1,7,8,11,8,1,3,8,1,6,8,9,8,1
2021/2/11,0,8,1,3,8,3,8,1,0,1,8,1,2,,8,2,0,8,1,0,8,1,2,8,3,8,1,0,1,8,1,2,,8,1,0,8,1,0,8,1,6,8,6,8,1,2,8,1,6,8,5,5,1
2021/2/12,0,8,1,3,8,1,8,1,0,1,8,1,2,,8,1,0,8,1,0,8,1,2,8,2,8,1,0,1,8,1,2,,8,2,0,8,1,0,8,1,6,8,10,5,1,0,8,1,6,8,6,8,1
2021/2/13,0,8,1,3,8,4,8,1,0,1,8,1,1,,8,2,0,8,1,0,8,1,2,8,4,8,1,0,1,8,1,2,,8,2,0,8,1,0,8,1,6,8,6,8,1,0,8,1,6,8,7,8,1
2021/2/14,0,8,1,2,8,1,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,2,8,1,8,1,0,1,8,1,2,,8,0,0,8,1,0,8,1,6,8,3,5,1,0,8,1,6,8,4,5,1
2021/2/15,0,8,1,2,8,1,8,1,0,1,8,1,1,,8,0,0,8,1,0,8,1,2,8,0,8,1,0,1,8,1,2,,8,2,0,8,1,2,8,1,6,8,3,8,1,9,8,1,6,8,5,8,1
2021/2/16,0,8,1,2,8,0,8,1,2,0,8,1,1,,8,1,0,5,1,0,8,1,2,8,0,8,1,1,0,8,1,2,,8,2,0,8,1,15,8,1,6,8,5,8,1,8,8,1,6,8,5,8,1
